Mosquito,Population,Phylodiversity,Temperature,Precipitation,Leaf Index High Veg,Leaf Index Low Veg,Maximum Temperature,Minimum Temperature,Maximum 10 Meter U Wind,Minimum 10 Meter U Wind,Maximum 10 Meter V Wind,Maximum Leaf Area Index High Vegetation,Minimum Leaf Area Index High Vegetation,Maximum Leaf Area Index Low Vegetation,Minimum Leaf Area Index Low Vegetation,Maximum Skin Reservoir Content,EvergreenDeciduousNeedleleafTrees,HerbaceousVegetation
0.6931471805599453,11.108349961046898,0.954626909,297.2204895,0.005725027,1.722261786,2.674218655,4.440569401,-2.63015008,4.422156334,-3.874103546,301.3240356,1.957376361,1.541265249,2.773577929,2.596579075,0.00038034,0,0.0
1.0986122886681098,11.108349961046898,0.954626909,295.5944519,0.001466874,1.722261786,2.674218655,3.722011566,-3.020528316,4.7609725,-5.292706966,299.4749146,1.957376361,1.541265249,2.773577929,2.596579075,0.000413392,0,0.0
0.6931471805599453,9.828548465871634,0.487601154,298.4631348,0.003382714,2.188437223,2.998037815,4.090099335,-2.54147768,4.455234528,-3.225406885,301.7025146,2.362930536,1.864362478,2.999521732,2.995120525,0.000431421,0,2.8284271247461903
1.3862943611198906,10.857882990443828,0.63927467,295.9550476,0.002180065,2.358294964,2.820327759,3.923183441,-4.255114555,6.351819038,-6.457539082,301.3360596,2.399538517,2.248060226,2.866337538,2.689104557,0.000469713,0,4.0
1.0986122886681098,10.857882990443828,0.63927467,295.8072205,0.00508007,2.322765827,2.788928747,3.584677696,-4.479005814,6.403245926,-4.646244049,300.5389099,2.381687641,2.192418575,2.854225874,2.63390255,0.000466796,0,4.0
0.6931471805599453,10.857882990443828,0.63927467,294.5624695,0.003133611,2.096045732,2.512434959,5.129806995,-4.057877064,7.468202591,-2.987413645,299.8956604,2.237218142,1.986903429,2.676368713,2.387948036,0.000429542,0,4.0
0.6931471805599453,10.857882990443828,0.63927467,296.3418579,0.001263042,2.322765827,2.788928747,3.730880737,-3.165606022,4.618314266,-4.228315353,302.3456726,2.381687641,2.192418575,2.854225874,2.63390255,0.000423069,0,4.0
0.6931471805599453,10.857882990443828,0.63927467,296.7459412,0.001139693,2.358294964,2.820327759,5.308433533,-5.096662045,5.939929008,-3.300427198,302.614563,2.399538517,2.248060226,2.866337538,2.689104557,0.000453537,0,4.0
1.0986122886681098,10.857882990443828,0.63927467,297.6784668,0.001959174,2.322765827,2.788928747,3.79370594,-2.35785532,5.356764793,-4.073844433,302.6749878,2.381687641,2.192418575,2.854225874,2.63390255,0.000461014,0,4.0
0.6931471805599453,10.857882990443828,0.63927467,287.7005615,0.003862549,1.810678601,2.178233147,4.942459106,-7.849045753,4.994511604,-6.630060196,297.0054932,1.903409481,1.75854516,2.286728382,2.122427225,0.000356134,0,4.0
1.6094379124341003,10.857882990443828,0.63927467,295.7319336,0.002790684,2.322765827,2.788928747,5.25047493,-3.490226746,5.036218643,-3.907034636,301.1429443,2.381687641,2.192418575,2.854225874,2.63390255,0.000466936,0,4.0
0.6931471805599453,10.857882990443828,0.63927467,291.4969177,0.002072463,2.035370827,2.445201397,4.988194466,-3.073234081,4.58779335,-5.440199852,298.4080505,2.181401014,1.911260366,2.620748758,2.296159029,0.000402481,0,4.0
1.3862943611198906,10.347596284236497,0.932827329,296.0690002,0.007440754,2.307029247,2.193000317,4.879319668,-5.467897415,4.892650127,-3.98335886,302.9217529,2.408555746,2.232096195,2.61512804,1.878534794,0.000447393,0,3.872983346207417
1.0986122886681098,10.347596284236497,0.932827329,295.6428223,0.002149446,2.451010704,2.786005497,5.262628078,-4.528698921,3.414801359,-3.166366339,301.2602539,2.503029823,2.348110199,3.004281282,2.358050108,0.000531369,0,3.872983346207417
0.6931471805599453,10.347596284236497,0.932827329,294.6039124,0.001142974,2.237269402,1.895489812,5.118664265,-4.020591259,5.477499485,-5.905922413,299.6066589,2.339567423,2.170196056,2.322993755,1.609852433,0.000373632,0,3.872983346207417
0.6931471805599453,9.671996759734089,0.602544402,296.3460083,0.005402002,3.993031979,2.543934822,2.71124506,-4.677037716,4.980673313,-4.428294182,300.7897949,4.147479057,3.700705051,2.630371094,2.384765387,0.00062719,0,3.605551275463989
1.0986122886681098,9.671996759734089,0.602544402,294.352478,0.000704036,3.37606144,2.211194754,3.967348576,-3.123072624,4.48743248,-4.786716461,299.9971924,3.676855326,3.152352333,2.37183857,2.09604764,0.000506694,0,3.605551275463989
2.302585092994046,9.571923252267498,0.311820376,298.3284607,0.002960179,4.417026997,2.324090481,3.1588974,-3.582512856,5.653263092,-3.933395863,302.425415,4.542150021,4.229994774,2.503192425,2.057734728,0.000529495,0,2.6457513110645907
1.0986122886681098,12.210214058030724,1.220653649,297.1707458,0.004818501,1.676674366,2.334472895,5.776346207,-4.429733276,4.996040821,-5.099977493,302.839386,1.87463367,1.534271836,2.747207165,2.043353558,0.000440485,0,3.1622776601683795
1.3862943611198906,12.210214058030724,1.220653649,297.5154419,0.002259673,2.034802914,3.084725857,6.459370613,-4.107635498,5.234359264,-5.433017254,303.2933655,2.108160257,1.890165567,3.237042427,2.77980423,0.000524851,0,3.1622776601683795
2.3978952727983707,12.210214058030724,1.220653649,296.9884033,0.005947229,1.911992788,2.83519578,4.022107601,-3.584414482,6.054804325,-4.138504505,301.2440796,2.028081894,1.720789671,3.075829029,2.432873249,0.000527262,0,3.1622776601683795
2.0794415416798357,12.210214058030724,1.220653649,294.4201965,0.005193577,1.527825952,2.027083874,6.697516918,-5.553414345,5.37477684,-6.022496223,300.9933472,1.705682039,1.421516061,2.400878906,1.807988048,0.000393626,0,3.1622776601683795
0.6931471805599453,12.210214058030724,1.220653649,286.2099304,0.003424268,1.361050844,1.686380625,5.953414917,-3.683954716,5.577569485,-5.513308525,298.6852722,1.416747451,1.334076524,1.798214436,1.631718278,0.000300941,0,3.1622776601683795
0.6931471805599453,12.210214058030724,1.220653649,296.0178833,0.002896537,1.676674366,2.334472895,4.961191177,-5.237607479,8.332333565,-4.005817413,301.6579895,1.87463367,1.534271836,2.747207165,2.043353558,0.000445993,0,3.1622776601683795
1.3862943611198906,12.210214058030724,1.220653649,296.8695984,0.000838101,1.911992788,2.83519578,4.755193233,-3.538534641,5.432431698,-5.006402016,303.1334229,2.028081894,1.720789671,3.075829029,2.432873249,0.000539784,0,3.1622776601683795
1.3862943611198906,12.210214058030724,1.220653649,293.2790527,0.001640743,1.527825952,2.027083874,5.305037022,-4.297596931,6.521371841,-4.421010494,299.6865234,1.705682039,1.421516061,2.400878906,1.807988048,0.000379769,0,3.1622776601683795
1.0986122886681098,12.210214058030724,1.220653649,285.6227722,0.002189032,1.361050844,1.686380625,5.532291889,-4.423474312,6.99896574,-5.189835548,294.8199158,1.416747451,1.334076524,1.798214436,1.631718278,0.000313787,0,3.1622776601683795
0.6931471805599453,12.210214058030724,1.220653649,296.5545959,0.003787753,2.034802914,3.084725857,4.426623821,-4.085091114,3.995448828,-3.772756338,300.9178772,2.108160257,1.890165567,3.237042427,2.77980423,0.000565464,0,3.1622776601683795
1.0986122886681098,12.210214058030724,1.220653649,297.6729431,0.003649313,1.911992788,2.83519578,4.487997532,-3.329597473,5.076160908,-3.058218241,301.5793457,2.028081894,1.720789671,3.075829029,2.432873249,0.00052374,0,3.1622776601683795
0.6931471805599453,12.210214058030724,1.220653649,294.6177368,0.002101113,1.527825952,2.027083874,4.82410574,-3.14870882,5.964314938,-6.934339523,300.5316162,1.705682039,1.421516061,2.400878906,1.807988048,0.000384454,0,3.1622776601683795
0.6931471805599453,9.503233841478497,-1.233862039,299.273407,0.002748912,2.377843857,0.627831578,4.053312302,-3.244826317,3.57880497,-4.440629959,305.1644287,2.483861685,2.148405552,0.628648877,0.626352072,0.000457852,0,1.7320508075688772
1.0986122886681098,9.503233841478497,-1.233862039,296.1802063,0.006191739,1.820818186,0.624152422,4.175262928,-3.538039446,4.279069901,-4.802530766,302.4503784,2.124370098,1.604822516,0.626097083,0.622930288,0.000366361,0,1.7320508075688772
0.6931471805599453,9.503233841478497,-1.233862039,298.6441345,0.004827031,2.377843857,0.627831578,2.214762211,-2.536195755,2.984971046,-3.266577482,303.0265808,2.483861685,2.148405552,0.628648877,0.626352072,0.000461364,0,1.7320508075688772
1.0986122886681098,9.503233841478497,-1.233862039,299.6256714,0.002456725,2.199793577,0.626470804,2.939414501,-2.67829752,4.032701969,-2.348757029,303.7178345,2.387245417,1.84460187,0.627704501,0.624377847,0.00039667,0,1.7320508075688772
2.70805020110221,10.343740486129956,1.140058894,298.3160095,0.002472034,2.168969393,2.69911623,3.033319235,-2.189644098,3.655474663,-2.459248304,302.4444275,2.298863173,1.868993759,2.701918602,2.691529274,0.000425814,0,5.0
1.0986122886681098,10.343740486129956,1.140058894,294.6488342,0.001221269,1.507790208,2.682837009,3.255544901,-2.309399128,3.019845247,-4.313466072,301.9159546,1.843725204,1.226228118,2.690914154,2.676991463,0.000347492,0,5.0
1.0986122886681098,12.480791051590096,1.52671091,289.7417297,0.005763737,4.979406357,1.036877155,6.297364712,-5.987637043,6.963265896,-5.145946026,300.0796204,4.990706444,4.966529846,1.107659578,0.952028811,0.000239612,6,0.0
3.8918202981106265,12.480791051590096,1.52671091,293.5574341,0.004339979,4.998063087,1.153099298,5.589310646,-6.043921947,5.141087532,-5.783554077,301.9234009,5.001253605,4.991422653,1.17185533,1.111930132,0.000254039,6,0.0
6.450470422144176,12.480791051590096,1.52671091,296.1346436,0.002191875,4.995629787,1.142716885,5.090191841,-3.695561409,6.118056774,-6.403036594,301.6683655,4.998147011,4.993515015,1.156502485,1.12963438,0.000250606,6,0.0
7.144407180321139,12.480791051590096,1.52671091,296.5863647,0.003883107,4.991005898,1.11252737,4.690138817,-5.245458603,7.601621628,-4.221797466,300.8884888,4.993400574,4.98730278,1.128793359,1.090204716,0.000247271,6,0.0
4.2626798770413155,12.480791051590096,1.52671091,293.2583313,0.001983451,4.981353283,1.0508883,7.494376183,-6.262393951,7.397017479,-6.405893326,300.0155945,4.987083435,4.972676754,1.088643432,0.989483714,0.00020731,6,0.0
1.3862943611198906,12.480791051590096,1.52671091,284.9251404,0.003832587,4.961642265,0.914909363,8.64871788,-4.337220669,6.48368454,-7.644013405,297.1679382,4.971899986,4.951879501,0.984481752,0.855345368,0.000223454,6,0.0
2.0794415416798357,12.480791051590096,1.52671091,286.642334,0.005640607,4.979406357,1.036877155,6.017850399,-8.140272141,8.058671951,-5.462981224,296.5586853,4.990706444,4.966529846,1.107659578,0.952028811,0.000239816,6,0.0
3.4011973816621555,12.480791051590096,1.52671091,291.3643188,0.004869897,4.998063087,1.153099298,5.304777622,-4.613407135,6.176688194,-8.726735115,298.1195068,5.001253605,4.991422653,1.17185533,1.111930132,0.000254035,6,0.0
4.127134385045092,12.480791051590096,1.52671091,296.642334,0.002436166,4.995629787,1.142716885,4.043037891,-3.741900921,4.879770756,-6.808649063,302.7111206,4.998147011,4.993515015,1.156502485,1.12963438,0.000250217,6,0.0
6.20455776256869,12.480791051590096,1.52671091,295.3305969,0.003241432,4.991005898,1.11252737,6.201013088,-5.439687729,5.000594139,-5.169106007,299.4477234,4.993400574,4.98730278,1.128793359,1.090204716,0.00023892,6,0.0
5.733341276897746,12.480791051590096,1.52671091,293.8475647,0.004189292,4.981353283,1.0508883,6.007855415,-4.95329237,7.07263279,-6.346592426,298.4309387,4.987083435,4.972676754,1.088643432,0.989483714,0.000239492,6,0.0
0.6931471805599453,12.480791051590096,1.52671091,284.7621155,0.006536853,4.961642265,0.914909363,9.53976059,-7.784304142,7.174524307,-8.965057373,298.285553,4.971899986,4.951879501,0.984481752,0.855345368,0.00022569,6,0.0
0.6931471805599453,12.480791051590096,1.52671091,286.1802063,0.004621231,4.979406357,1.036877155,5.889421463,-5.555305958,6.69219923,-8.491743088,296.5401306,4.990706444,4.966529846,1.107659578,0.952028811,0.000240866,6,0.0
2.1972245773362196,12.480791051590096,1.52671091,293.9960632,0.002862201,4.998063087,1.153099298,6.621724606,-4.430055618,10.13319492,-4.954311371,298.6907349,5.001253605,4.991422653,1.17185533,1.111930132,0.000253614,6,0.0
5.288267030694535,12.480791051590096,1.52671091,297.6031494,0.00392641,4.995629787,1.142716885,7.547859192,-7.566064835,5.669122219,-6.010093689,302.5005188,4.998147011,4.993515015,1.156502485,1.12963438,0.000250337,6,0.0
7.210079628170788,12.480791051590096,1.52671091,296.453064,0.001051993,4.991005898,1.11252737,4.636120796,-4.736907959,4.83935833,-6.240017891,301.3925781,4.993400574,4.98730278,1.128793359,1.090204716,0.000152492,6,0.0
6.093569770045136,12.480791051590096,1.52671091,291.7690735,0.003874578,4.981353283,1.0508883,6.684106827,-5.629135609,7.826957703,-6.235646725,297.6015625,4.987083435,4.972676754,1.088643432,0.989483714,0.000241215,6,0.0
2.1972245773362196,12.480791051590096,1.52671091,284.0057373,0.002597788,4.961642265,0.914909363,6.215227127,-5.457843781,8.153283119,-6.389799595,293.5158386,4.971899986,4.951879501,0.984481752,0.855345368,0.000224952,6,0.0
